text,label
Wegen geplanten EU-Referendums droht Entzug der Spitzenbonitätsnote,3
Epic entschuldigt sich für falsch eingesetztes Blacklist-System der Regierung,0
"Der autonome, zu Dänemark gehörende Inselstaat wählt am Dienstag",2
Siebenjähriger wurde leicht verletzt,1
Kim Davis setzte sich über Urteil des US-Höchstgerichts hinweg,1
Bericht von Notenbankdirektor Pribil in Rechnungshofausschuss des Parlaments,3
Konrad will Unternehmen und Hilfsorganisationen zusammenbringen – Zwist um Unterrichtsleitfaden,1
"Bayern-Legionär gewinnt vor Dragovic, Arnautovic und Junuzovic",4
Irakische und türkische Behörden begannen Suche,2
"Der Autor, Essayist und ehemalige Fernsehmoderator erlag 60-jährig einer Krebserkrankung",8
"InfoAid zeigt Informationen über Bustransporte, Grenzübergänge und Asyl-Gesetzgebung",0
Geleaktes Dokument offenbart Vorhaben – Direktchat mit Unternehmen als Basis,0
"Unternehmenssprecherin: ""Video kein Verstoß gegen unsere Regeln""",0
Haftstrafe von zehneinhalb Jahren verhängt,1
Angeblich mit Anti-Flugzeug-Raketen ausgestattet,2
Militärsprecher: 14 Soldaten in den vergangenen 24 Stunden verletzt,2
Die ÖVP verlor mit 84,5
Manager Kronthaler hält trotz Schwierigkeiten an Vision fest,4
"""Nicht Spar-en mit Vielfalt"": Kampagne gegen Halal-Rückzieher gestartet",0
Neuartiger Schalter auf Nanometer-Skala von Forschern der TU Wien mitentwickelt,7
'Christie''s und Sotheby''s haben den Auktionsmarkt fest im Griff,3
Innenminister: Auch die Rolle des EU-Datenschutzbeauftragten gestärkt,2
Zweite Teilnahme an der Italien-Radrundfahrt nach 2014,4
Kuratorium für Verkehrssicherheit: Die meisten Unfälle nach zwei Jahren,1
US-Forscher interpretieren Anomalien bei ungarischen Versuchen mit neuer fundamentaler Wechselwirkung,7
Mann hatte nach abgelehntem Asylantrag zwei Kunden getötet,1
Auch Facebook hat sich der Gruppe angeschlossen,0
"Ex-Vale-Chef Agnelli, Frau und beide Kinder getötet",1
Der deutsche Kulturtheoretiker und Musikjournalist referiert in Salzburg,8
Testberichte der Fachmagazine falle überwiegend positiv aus und stimmen optimistisch,0
Nur über Arbeitnehmerveranlagung profitiert man von Absetzbeträgen und Ausgaben,3
Lenker wurde bei Unfall verletzt,1
