text,label
"Marc Janko (Torschütze Österreich): Es ist unbeschreiblich, was heute wieder los war",4
Wegen geplanten EU-Referendums droht Entzug der Spitzenbonitätsnote,3
Der Niederländer Jeroen Dijsselbloem war in den vergangenen zwei Jahren durchgehend mit der Griechenland-Krise konfrontiert,3
Epic entschuldigt sich für falsch eingesetztes Blacklist-System der Regierung,0
"Der autonome, zu Dänemark gehörende Inselstaat wählt am Dienstag",2
Siebenjähriger wurde leicht verletzt,1
"Die Prinzipien von Open Innovation sollen helfen, potenziell alle Menschen in die Wissenschaft einzubeziehen",7
Kim Davis setzte sich über Urteil des US-Höchstgerichts hinweg,1
Bericht von Notenbankdirektor Pribil in Rechnungshofausschuss des Parlaments,3
"Nach 13 Jahren zieht sich Badelt als Leiter der Wiener Wirtschaftsuniversität zurück, die Informatikerin Hanappi-Egger übernimmt",5
Konsole mit Spiel künftig deutlich günstiger zu haben – Keine Neuigkeiten zum Euro-Preis,0
Konrad will Unternehmen und Hilfsorganisationen zusammenbringen – Zwist um Unterrichtsleitfaden,1
"Bayern-Legionär gewinnt vor Dragovic, Arnautovic und Junuzovic",4
"Flaggschiff soll ab Mitte März erhältlich sein, ""Always on""-Screen große Neuerung",0
Irakische und türkische Behörden begannen Suche,2
Android-Hersteller gibt Einblick in Nexus-Entwicklung – Bei Nexus 5X und 6P deutlich mehr Einfluss ausgeübt,0
"Neue Reformvorschläge gibt es aus Griechenland, für eine Einigung reichen sie vermutlich nicht aus",3
"'Frauen sollen zu Silvester sexuell belästigt und bestohlen worden sein, Polizei räumt Fehleinschätzung am Neujahrsmorgen ein",1
"Der Autor, Essayist und ehemalige Fernsehmoderator erlag 60-jährig einer Krebserkrankung",8
"Bei Terrorangriffen im Zentrum der indonesischen Hauptstadt starben am Donnerstag sieben Menschen, unter ihnen fünf Attentäter",2
"InfoAid zeigt Informationen über Bustransporte, Grenzübergänge und Asyl-Gesetzgebung",0
"'Entgegen früheren Ankündigungen ist man noch nicht so weit, dass Zahl und Ort der Zentren zum Jahresende geklärt sind",1
"Ein Meme zeigt, was Facebook-Nutzer nicht machen sollten, wenn sie clever sein wollen",0
"Seit den Maidan-Protesten hat sich das Leben in der Ukraine radikal verändert, sagt der Politologe Taras Kuzio",2
"Bewaffnete Konflikte und Bürgerkriege hinterlassen Spuren in der Atmosphäre: Stickoxidemissionen sinken etwa in Regionen, aus denen viele Menschen geflohen sind",7
"Das gesamte Ausmaß wird erst jetzt sichtbar, da auch entlegene Regionen erreicht wurden",1
Geleaktes Dokument offenbart Vorhaben – Direktchat mit Unternehmen als Basis,0
Beim Umbau des roten Regierungsteams befolgt Werner Faymann alle internen Gesetze – auch zur eigenen Absicherung,5
"Unternehmenssprecherin: ""Video kein Verstoß gegen unsere Regeln""",0
"'Staatschef hat mit der Bildung einer Übergangsregierung begonnen, die das Land bis zu Neuwahlen führen soll",2
Haftstrafe von zehneinhalb Jahren verhängt,1
Angeblich mit Anti-Flugzeug-Raketen ausgestattet,2
Militärsprecher: 14 Soldaten in den vergangenen 24 Stunden verletzt,2
Amnesty: Kontaminierung im größten Ölfördergebiet Afrikas noch immer mit bloßem Auge sichtbar,1
"'Um die für die Bauern prekäre Preissituation bei der Milch zu entschärfen, soll in der EU weniger produziert werden",3
"Was passiert, wenn Österreich bis 2060 keine Zuwanderer mehr ins Land lässt?, fragt eine Studie",3
"Deutscher Spezialchemie-Anbieter übernimmt um 3,8 Milliarden Dollar Teile des US-Mitbewerbers Air Products",3
"Daten ""künftige Währung"" der Kfz-Industrie – Wer Kontrolle habe, werde König",0
"Astronomen schließen aus Aufnahmen der Dawn-Sonde, dass Ceres geologisch einmal sehr dynamisch gewesen sein muss",7
Die ÖVP verlor mit 84,5
Bei den jüngsten Antikorruptionsprotesten in der irakischen Hauptstadt gab es am Wochenende die ersten Toten,2
"'Hunderte Objekte illegal exportierten antiken Kulturguts, das im Jänner in Genf sichergestellt worden war, sind Italien zurückgegeben worden",8
Manager Kronthaler hält trotz Schwierigkeiten an Vision fest,4
"""Nicht Spar-en mit Vielfalt"": Kampagne gegen Halal-Rückzieher gestartet",0
"Dem Caterer drohte wegen Verletzung der Arbeitszeitregelung eine Strafe von 1,3 Millionen Euro",3
"Einige ""Stolpersteine"", die an Opfer des NS-Terrors erinnern, besprüht – Grazer Dom mit NS-Symbolen beschmiert",1
"In zwei Koffern wurden weibliche Leichenteile entdeckt, zudem wurde eine mit Steinen beschwerte männliche Leiche und offenbar ein weiterer Koffer aus dem Traunsee geborgen",1
Urteil: EU hob zu Unrecht Zölle für bestimmte Eisen- und Stahlbeschläge ein,3
Neuartiger Schalter auf Nanometer-Skala von Forschern der TU Wien mitentwickelt,7
"Erklärung steht in Widerspruch zur Haltung von Präsident Rohani, der mit den USA das Atomabkommen schloss",2
Die Insolvenz des amtierenden Basketball-Meisters nötigt die Bundesliga (ABL) zum Lizenzentzug,4
Nördlich von Graz gab es 1945 ein Massaker an ungarischen Jüdinnen und Juden,1
"Analphabeten und Augenärzte, fröhliche Kinder und frustrierte Männer, wöchentlich ein Ausflug zum Tröpferlbad",1
Ende des Mainstream-Supports im Oktober 2020 – An verpflichtende Feature-Updates gebunden,0
"Hacker-Kollektiv will hinter Attacken stecken – Strafe für ""Blindheit"" gegenüber IS",0
'Christie''s und Sotheby''s haben den Auktionsmarkt fest im Griff,3
Innenminister: Auch die Rolle des EU-Datenschutzbeauftragten gestärkt,2
Zweite Teilnahme an der Italien-Radrundfahrt nach 2014,4
Kuratorium für Verkehrssicherheit: Die meisten Unfälle nach zwei Jahren,1
"Nach fünf Stunden Spielzeit ging amerikanisches Team als Sieger hervor – Zweitplatzierte bekamen 2,8 Millionen Dollar",0
US-Forscher interpretieren Anomalien bei ungarischen Versuchen mit neuer fundamentaler Wechselwirkung,7
Mann hatte nach abgelehntem Asylantrag zwei Kunden getötet,1
Auch Facebook hat sich der Gruppe angeschlossen,0
"Ex-Vale-Chef Agnelli, Frau und beide Kinder getötet",1
Angriff auf vernetzte Kopierer und Drucker offenbar aus den USA – Sicherheitsleck behoben,0
Die anfängliche Hoffnung auf eine schnelle Arbeitsmarkt-Integration von Asylbewerbern ist verflogen – Auf viele Flüchtlinge wartet jetzt erst einmal das Jobcenter,3
Die Witwe des früheren Präsidenten Ronald Reagan wurde 94 Jahre alt,2
"Von Oktober 2013 bis Februar 2016 seien so mehr als 2,3 Millairden Dollar verlorengegangen",0
Der deutsche Kulturtheoretiker und Musikjournalist referiert in Salzburg,8
"Zeigt Umfrage unter Entwicklern der Statistik-Programmiersprache ""R"" – Sozialer Aspekt steht im Mittelpunkt",0
Testberichte der Fachmagazine falle überwiegend positiv aus und stimmen optimistisch,0
Vor den Parlamentswahlen in Kroatien an diesem Sonntag liegt die konservative HDZ in Umfragen vor den regierenden Sozialdemokraten,2
Nur über Arbeitnehmerveranlagung profitiert man von Absetzbeträgen und Ausgaben,3
Bislang vergibt der Videostreamer Aufträge an externe Produzenten – TV-Senderchefs wollen weniger verkaufen,0
Apple-Manager Jimmy Iovine und Eddy Cue sehen Musikdienst als Win-Win für Musikbranche und Konsumenten,0
"Die zwei Reporter Can Dündar und Erdem Gül wurden zwar freigelassen, doch noch immer droht ihnen Haft – Sie zeigen sich dennoch kämpferisch",6
"Mikl-Leitner: Not-Quartiere, wo Verteilerzentren nicht fertig – Steiermark sucht  noch immer",1
Lenker wurde bei Unfall verletzt,1
Vermarktungssystem wird auch bei 60-Euro-Spielen immer populärer und stößt auf Unmut,0
"Große Schwachstellen bei ""Industrial Ethernet Switches"" – Tor für Cyberattacken weit offen",0
"heute konkret, erLesen: Krimi-Special, Todschick – Die Schattenseite der Mode, Alles Schwindel, Report, Willkommen Österreich, kreuz und quer, Ochs im Glas, Good Fellas – Drei Jahrzehnte in der Mafia",6
"Der Endbericht des U-Ausschusses zum überteuerten Kauf von Seegrundstücken räumt mit dem ""System Haider"" auf",5
Griechenland und andere Staaten mit Vorbehalten in Brüssel – Kritik auch aus den USA,2
Finale Erweiterung des Rollenspiels verspricht jede Menge Neuerungen und Verbesserungen,0
Unternehmen nimmt Entscheidung zur Kenntnis und analysier,3
'Über 120,1
"Hypo, Steuerreform und Griechenland ließen Hans Jörg Schelling bisher wenig Zeit für die Umsetzung des Regierungsprogramms",5
Parteichef Iglesias besteht aber auf Referendum zu Katalonien,2
Geplante Flucht wegen kaputter Stadien und fehlender Unterstützung der Lokalpolitik – Giants-Coach nach 12 Jahren zurückgetreten,4
"War bisher etwa bei ""Heute"", ""Der neue Grazer"" und ""Falstaff""",6
"""The Cutting Edge"" versammelt unveröffentlichte Outtakes und Alternativversionen der Jahre 1965 und 1966",8
Der Aufstand der Rebellen gegen das Maschinenimperium geht in die nächste Runde: Im fünften Teil der Science-Fiction-Saga kämpft Arnold Schwarzenegger auch gegen die Tücken der Erzählung,8
Die Wiener Austria lädt Flüchtlinge zum Training ein,4
Die Rekordarbeitslosigkeit wird Österreich noch länger beschäftigen,3
"Mit ""Gefährderansprache"" und Meldeverpflichtung für potenziell gefährlich Radikalisierte",5
Klage in Deutschland und Datenanfrage in den USA,3
'Deutschland machte Balken zu und wieder auf – Flüchtlingsandrang aus Slowenien,1
"Hartes Pflaster Indiana: Republikaner droht Zwölfjährigem mit Schlägen – Spott von Trump-Anhängern, Fiorina fällt von Bühne",2
In der Wattener Lizum wurden 17 tschechische Staatsbürger von einer Lawine verschüttet,1
Attentäter ist auf Fotos mit Kriegsfahne zu sehen,1
Swift-Verbund warnt Kunden: Es gab mehrere Cyber-Angriffe – Angreifer waren im Namen befugter Benutzer unterwegs,0
Unter den sechs Opfern einer Schießerei in der südmexikanischen Unruheregion sind auch zwei Kinder,2
Kritiker sehen im neuen Admira-Trainer Ernst Baumeister nur einen Strohmann,4
Konzentration auf Kernbereiche wie News und Sport,0
Siebenköpfige Gruppe war in den französischen Pyrenäen durch Hochwasser blockiert,1
Kiloweise Schmuck soll ein Postangestellter über die Jahre aus Sendungen gefischt haben,1
Neues europäisches Banken-Abwicklungsregime ab 1,3
Rund zwei Drittel der Stimmen ausgezählt – NLD liegt uneinholbar vorn,2
Neue Technologie simuliert Hautänderungen im Mikrometerbereich,0
Tageszeitung zeigt falsche Person als mutmaßlichen Verdächtigen,6
Favoriten im Rennen um Präsidentschaftskandidatur Trump und Clinton im Hintertreffen – Cruz rückt in landesweiter Umfrage an Trump heran,2
"Rapid verliert im Schlager bei Sturm Graz erste Punkte, feiert aber  ein sehenswertes Comeback",4
"Im Schauspielhaus Wien feierte ""Möglicherweise gab es einen Zwischenfall"" Premiere",8
Polizei: Fischer gingen auf Kollisionskurs,2
"Das Wifo geht davon aus, dass die Zahl der ausländischen Beschäftigten viel stärker steigt als bisher gedacht",3
"Grozurek mit zwei Toren, positive Serie der Niederösterreicher gegen die Burgenländer prolongiert",4
"US-Präsident Barack Obama erklärt seine vielkritisierte Entscheidung von August 2013, keine Militärschläge gegen das Assad-Regime in Syrien anzuordnen",2
Die Jecken feiern gegen Grapschen und Terrordrohungen,1
"Mit Tochter Eurosport – Sublizenzierungen geplant – ORF ""blickt Verhandlungen entgegen""",6
Der Chef des Sinaloa-Kartells kann noch eine Reihe von Rechtsmitteln ergreifen,1
'Von der Papierform her dürfte das TV-Duell recht launig und entspannt werden,6
Keine offensichtlichen Hinweise auf Fremdverschulden,1
"Forscher identifizieren 1700 menschliche Gene, deren Inaktivierung durch Mutationen für die Zelle tödlich ist",7
Wiener Bürgermeister ortet Probleme bei der Kommunikation der Bundes-SPÖ - Auch Katzian klar gegen Koalition,5
"Automatische Aktivierung, Nutzung nur für andere UPC-Kunden – Pilotprojekt in Graz",0
'Gebührenfreies Geldabheben im EU-Ausland  kostet Österreichs Kreditinstitute viel – aber sie sind selbst schuld daran,3
Landeshauptleute von Tirol beraten Grenzkontrollen zwischen Italien und Österreich,1
'Laut Medienberichten verzichtete der Argentinier auf den Pokal,4
Das Programm befasst sich mit der Persönlichkeit der niederösterreichischen SOS-Kinderdorfmutter Angela Sasshofer,6
"Ex-""Datum""-Chefredakteur nimmt Thomas Trescher und Christina Pausackl mit, von Servus TV kommt Christian Schwarz",6
"3D-Support für aktuelle Nvidia-Karten, Sicherheitsverbesserungen und neues Dateisystem",0
"Flagge der ""Bearded Villains"" zeigt gekreuzte Schwerter",1
"Par-Runde zum Auftakt – Woods mit miserabler Runde,  Johnson voran",4
"Eine Familie soll im Internet dutzende Männer um Geld gebracht haben, indem sie ihnen paarungsinteressierte junge Frauen vorgaukelte",1
Vorarlberger präsentieren sich als das Ass im Ärmel und feiern einen fulminanten 4:1-Auswärtssieg in Portugal gegen Guimaraes,4
"Millionen Amerikaner hören täglich wütende Radiomoderatoren, die gegen alles Nichtkonservative wettern",2
"Forschungsprojekt untersucht, ob europäische Staaten in wirtschaftlicher Hinsicht überhaupt zusammenrücken wollen",7
"Radiojournalistin bestreitet, über angebliche Trunkenheit des ukrainischen Präsidenten berichtet zu haben",6
Deutscher Kryptologe mit Rundumschlag zu Microsofts neuestem Betriebssystem,0
"Roboter können auch als Hilfsmittel für die Kunstproduktion dienen – wie das geht, wird im Forschungsprojekt ""Robotic Woodcraft"" erprobt",7
"Bei bildender Kunst summierten sich die Besitzerwechsel in der globalen Auktionsbranche seit Anfang des Jahres auf 7,5 Milliarden Dollar",8
Vorgänger soll zu Monatsbeginn hingerichtet worden sein,2
"Melden-Funktion wird missbraucht, um Aktivisten und Blogger verstummen zu lassen",0
HDP-Vizechef Selahattin Demirtaş glaubt bei der Türkei-Wahl an Stimmenzuwächse seiner Partei,2
"Wien – Der frühere Telekom-Finanzvorstand und nunmehrige Kronzeuge Gernot Schieszler hat am Donnerstag im Tetron-Prozess geschildert, dass der wegen Untreue angeklagte Ex-Telekom-Austria-Vorstand Rudolf Fischer 2004 oder 2005 auf ihn zugekommen sei, und dass dieser gesagt habe, es sei noch etwas aus der Vergangenheit offen",5
"Zuletzt verloren die Anleihen stark an Wert, für die Bank ist der Rückkauf ein gutes Geschäft",3
"Sechs Titel zum Jubiläum herunterladbar – inklusive ""Earthsiege""-Titel aus 1994 und 1996",0
"'Die Artillerie schweigt, doch die Waffenruhe im Donbass ist noch brüchig – Krawalle in Kiew – Spekulationen über Anschluss an Russland in Donezk",2
"Die Entwickler des Spieles ""Punch Club"" werten Daten bezüglich Piraterie und Verkäufe aus und stellen regionale Unterschiede fest",0
Duell am 16,4
Der Garten rund um das Häuschen am Land stillt in Russland in Zeiten des Lebensmittelembargos auch den Hunger,1
Gesperrte Gaddafi-Konten fast leer – Exlandeshauptmann will Tripolis besuchen,5
Zinszahlung war am Donnerstag fällig,3
Österreich ist fast schon auf dem Weg zur Fußball-Europameisterschaft in Frankreich,4
"Knatsch in Tirols Regierung: Der Landeschef und seine Stellvertreterin sind sich uneinig, ob ein Politiker an Protestkundgebungen teilnehmen sollte",1
Gewerkschafter Kimberger: Pädagogen mit Sonderverträgen anstellen,5
"Staatsanwaltschaft leitet Vorhabensbericht an Justizministerium weiter, Ermittlungen laufen seit 2009",3
"Michael Häupl, SPÖ, und Erwin Pröll, ÖVP, wurden beide vor kurzem parteiintern heftig kritisiert",5
Schweizer hatte bei seinem Comeback gegen den Franzosen Tsonga das Nachsehen,4
Der Volltext dieses auf Agenturmeldungen basierenden Artikels steht aus rechtlichen Gründen nicht mehr zur Verfügung,1
Attacke im Morgengrauen bei Viehmarkt an Grenze zu Somalia – Behörden machen Terrormiliz Al-Shabaab verantwortlich,2
